name,ingredients,preparation,cleaned_ingredients
Quinoa Salad (Style v1),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v1),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v1),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v1),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v2),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v2),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v2),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v2),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v3),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v3),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
